id,bom_id/id,product_id,product_qty_formula,product_uom
mrp.template_sinko_ab_line1,mrp.template_sinko_ab,[SP05006],((14+line.W)<=457) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='OW') and (457*line.L/1000000*3.75*2) or 0.0,kg
mrp.template_sinko_ab_line2,mrp.template_sinko_ab,[SP05007],((14+line.W)>457 and (14+line.W)<=610) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='OW') and (610*line.L/1000000*3.75*2) or 0.0,kg
mrp.template_sinko_ab_line3,mrp.template_sinko_ab,[SP05006],((14+line.W)>610 and (14+line.W)<=914) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='OW') and (914*line.L/1000000*3.75*2) or 0.0,kg
mrp.template_sinko_ab_line4,mrp.template_sinko_ab,[SP05007],((14+line.W)>914 and (14+line.W)<=1219) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='OW') and (1219*line.L/1000000*3.75*2) or 0.0,kg
mrp.template_sinko_ab_line5,mrp.template_sinko_ab,[SP05007],((14+line.W)>1219 and (14+line.W)<=2106) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='OW') and (1219*line.L/1000000*3.75*2) or 0.0,kg
mrp.template_sinko_ab_line6,mrp.template_sinko_ab,[SP05006],((14+line.W)>1219 and (14+line.W)<=2106) and (line.mat_inside_skin_choices.code=='OW') and (line.mat_outside_skin_choices.code=='OW') and (914*line.L/1000000*3.75*2) or 0.0,kg
mrp.template_sinko_ab_line7,mrp.template_sinko_ab,[SP05008],((14+line.W)<=457) and (line.mat_inside_skin_choices.code=='AW') and (line.mat_outside_skin_choices.code=='AW') and (457*line.L/1000000*3.4*2) or 0.0,kg
mrp.template_sinko_ab_line8,mrp.template_sinko_ab,[SP05009],((14+line.W)>457 and (14+line.W)<=610) and (line.mat_inside_skin_choices.code=='AW') and (line.mat_outside_skin_choices.code=='AW') and (610*line.L/1000000*3.4*2) or 0.0,kg
mrp.template_sinko_ab_line9,mrp.template_sinko_ab,[SP05008],((14+line.W)>610 and (14+line.W)<=914) and (line.mat_inside_skin_choices.code=='AW') and (line.mat_outside_skin_choices.code=='AW') and (914*line.L/1000000*3.4*2) or 0.0,kg
mrp.template_sinko_ab_line10,mrp.template_sinko_ab,[SP05009],((14+line.W)>914 and (14+line.W)<=1219) and (line.mat_inside_skin_choices.code=='AW') and (line.mat_outside_skin_choices.code=='AW') and (1219*line.L/1000000*3.4*2) or 0.0,kg
mrp.template_sinko_ab_line11,mrp.template_sinko_ab,[SP05008],((14+line.W)>1219 and (14+line.W)<=2106) and (line.mat_inside_skin_choices.code=='AW') and (line.mat_outside_skin_choices.code=='AW') and (1219*line.L/1000000*3.4*2) or 0.0,kg
mrp.template_sinko_ab_line12,mrp.template_sinko_ab,[SP05009],((14+line.W)>1219 and (14+line.W)<=2106) and (line.mat_inside_skin_choices.code=='AW') and (line.mat_outside_skin_choices.code=='AW') and (914*line.L/1000000*3.4*2) or 0.0,kg
mrp.template_sinko_ab_line13,mrp.template_sinko_ab,[SP05006],((14+line.W)<=457) and (line.mat_inside_skin_choices.code=='GI') and (line.mat_outside_skin_choices.code=='OW') and (457*line.L/1000000*3.75) or 0.0,kg
mrp.template_sinko_ab_line14,mrp.template_sinko_ab,[SP05007],((14+line.W)>457 and (14+line.W)<=610) and (line.mat_inside_skin_choices.code=='GI') and (line.mat_outside_skin_choices.code=='OW') and (610*line.L/1000000*3.75) or 0.0,kg
mrp.template_sinko_ab_line15,mrp.template_sinko_ab,[SP05006],((14+line.W)>610 and (14+line.W)<=914) and (line.mat_inside_skin_choices.code=='GI') and (line.mat_outside_skin_choices.code=='OW') and (914*line.L/1000000*3.75) or 0.0,kg
